stat_id	stat_nm	lat	lon	link_id	dist_m
ME21B180	서울마포경찰서	37.5507749	126.9545677	1130001700	83.47
ME21B1C3	석관동주민센터	37.6130724	127.0615437	1070001600	35.23
ME21B211	강서소방서	37.5578757	126.8600664	1150001600	65.69
ME21B234	서울강남경찰서	37.5091846	127.0669683	1220028700	83.6
ME21B244	경찰청	37.5637284	126.9676791	1010008900	170.93
ME21B245	동대문소방서	37.56428	127.06685	1050004400	26.46
ME21B305	남부수도사업소	37.4921248	126.914969	1200010300	297.77
ME21B309	서울경찰청	37.5745443	126.9725192	1000032500	31.32
ME21B404	우이동교통광장	37.6634506	127.0129069	1080013300	31.24
ME21B412	마포소금나루도서관	37.5495525	126.9460746	1130014800	196.04
ME21C250	답십리1동주민센터	37.571706	127.051358	1050006400	61.55
ME21C251	서울강서경찰서	37.551406	126.850466	1150010400	182.62
ME21D045	개포동공원 공영주차장	37.4895951	127.0683327	1220013600	20.69
ME21D046	탄천제2호 공영주차장	37.493808	127.0872546	1220017500	42.68
ME21D047	독산1동 공영주차장	37.4648944	126.8947719	1170002900	240.76
ME21D048	시설관리공단 마포유수지주차장	37.5394705	126.9430773	1130007700	61.19
ME22C1B8	상계1동주민센터	37.679927	127.054798	1100006600	114.45
ME22C1B9	도림동주민센터	37.5090784	126.8960627	1180013401	44.03
ME22C1C0	엔젤스헤이븐	37.605196	126.9064973	1110009300	351.08
ME22C802	국회의사당 6문	37.5326039	126.9174606	1180038600	53.93
ME22D121	한국과학기술원 서울캠퍼스	37.59332	127.04621	1050018700	208.5
ME22D134	국립중앙극장-2	37.5528698	127.0001305	1020021600	157.41
ME22D152	서서울어르신복지관	37.5342108	126.8266206	1140033400	159.03
ME22D205	문화회관 동측주차장	37.5167683	126.8635626	1140008700	44.71
ME22D402	국립중앙극장-1	37.5528698	127.0001305	1020021600	157.41
ME22M301	용산 전쟁기념관 소형 주차장	37.5373	126.9752	1020014200	118.46
ME22M302	용산 전쟁기념관 지하 주차장	37.5355	126.9772	1020011400	129.63
AH000021	(주)아하 마곡 RD센터	37.55738068	126.830002	1150058800	328.26
AH000039	서울 도봉구청	37.66871612	127.0471314	1090011600	75.34
