addr	busi_call	busi_id	lat	lng	note	stat_id	stat_nm	year	zcode	zscode
서울특별시 성북구 보문로29다길 31	1661-7766	EV	37.584160485	127.01359733	외부인 사용불가	EV004187	서울성북 삼선푸르지오 2주차장	2021	11	11290
서울특별시 성북구 보문로29다길 31	1661-7766	EV	37.5841774	127.0126186	외부인 사용불가	EV004188	서울성북 삼선푸르지오 1주차장	2021	11	11290
서울특별시 성북구 북악산로 828	1661-7766	EV	37.600495090	127.01656724	외부인 사용불가	EV004196	서울성북 정릉스카이쌍용아파트 101동	2021	11	11290
서울특별시 마포구 숭문길 98	1661-7766	EV	37.5502693	126.9466393	외부인 사용불가	EV004210	서울마포 마포자이더센트리지1	2021	11	11440
서울특별시 마포구 숭문길 98	1661-7766	EV	37.5502693	126.9466393	외부인 사용불가	EV004211	서울마포 마포자이더센트리지2	2021	11	11440
서울특별시 마포구 숭문길 98	1661-7766	EV	37.5502693	126.9466393	외부인 사용불가	EV004212	서울마포 마포자이더센트리지3	2021	11	11440
서울특별시 마포구 숭문길 98	1661-7766	EV	37.5502693	126.9466393	외부인 사용불가	EV004213	서울마포 마포자이더센트리지4	2021	11	11440
서울특별시 마포구 숭문길 98	1661-7766	EV	37.5502693	126.9466393	외부인 사용불가	EV004214	서울마포 마포자이더센트리지5	2021	11	11440
서울특별시 강남구 영동대로 513	1661-7766	EV	37.5118239	127.059159	외부인 사용불가	EV004262	서울강남 코엑스옥상	2021	11	11680
서울특별시 성동구 행당로 79	1661-7766	EV	37.5582053	127.027507	외부인 사용불가	EV004263	서울성동 행당대림아파트 123동	2021	11	11200
서울특별시 성동구 행당로 79	1661-7766	EV	37.5582053	127.027507	외부인 사용불가	EV004264	서울성동 행당대림아파트 125동	2021	11	11200
서울특별시 성동구 행당로 79	1661-7766	EV	37.5582053	127.027507	외부인 사용불가	EV004265	서울성동 행당대림아파트 128동	2021	11	11200
서울특별시 성동구 행당로 79	1661-7766	EV	37.5582053	127.027507	외부인 사용불가	EV004266	서울성동 행당대림아파트 109동	2021	11	11200
서울특별시 성동구 행당로 79	1661-7766	EV	37.5582053	127.027507	외부인 사용불가	EV004267	서울성동 행당대림아파트 130동	2021	11	11200
서울특별시 중구 퇴계로90길 74	1661-7766	EV	37.561199583	127.02215821	외부인 사용불가	EV004295	서울중구 래미안신당하이베르 106동	2021	11	11140
서울특별시 중구 퇴계로90길 74	1661-7766	EV	37.561834832	127.02191223	입주민만 사용가능 거주자 외 출입제한	EV004296	서울중구 래미안신당하이베르 102동	2021	11	11140
